City,LOC_FINAL,SAL_SP,FROG_SP,SNAKE_SP,LIZARD_SP,TURTLE_SP,RBS_OBS,AMTO_OBS,GRFR_OBS,GART_OBS,FOWL_OBS,BULL_OBS,GRAYTR_OBS,PEEP_OBS,NO_SLIMY,ERAT_OBS,NO_WAT_OBS,NO_DUSK,LINED_OBS,DEKAY_OBS,PAINT_OBS,SNAP_OBS,SKINK_OBS,type,Junevisits,Julyvisits,HABITAT_NUM,forest10,field10,stream10,pond10,area,perimeter,imperv,road_length,CONN100,CONN500,CONN1000,forestcover,wetland_types,species pool,city_imperv,city_forest
Baltimore ,CYLBURN ARBORETUM,1,2,1,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,Single,NA,NA,2,1,1,0,0,1051399,5938,5.843642612,2376.064,0.123,86.931,295.961,62.616,2,23,45.8,14.6
Baltimore ,DRUID HILL PARK,1,2,3,0,1,6,11,0,9,0,5,0,0,0,8,0,0,0,3,0,3,0,Single,13153,11617,3,1,1,0,1,2253568,6403,8.715482841,623.67,0,22.195,207.456,37.099,4,23,45.8,14.6
Baltimore ,FEDERAL HILL PARK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Single,904,936,1,0,1,0,0,35742,933,35.18421053,0,0,12.463,162.657,4.842,0,23,45.8,14.6
Baltimore ,FORT MCHENRY NATIONAL MONUMENT,0,2,3,0,2,0,3,0,2,2,0,0,0,0,9,13,0,0,2,12,0,0,Single,693,497,2,0,1,1,0,204797,2393,14.47555556,2845.345,0.001,31.261,184.51,2.84,1,23,45.8,14.6
Baltimore ,GWEN FALLS LEAKIN PARK,1,2,3,0,0,2,1,0,5,0,0,0,0,0,6,2,0,0,5,0,0,0,Multiple,NA,NA,3,1,1,1,0,9042017,46580,3.679753504,34568.464,0,0.059,14.436,63.356,4,23,45.8,14.6
Baltimore ,HERRING RUN PARK,1,0,3,0,0,1,0,0,0,0,1,0,0,0,5,2,0,0,1,0,2,0,Single,7119,6443,3,1,1,1,0,2925784,21877,7.802571166,6579.158,0,0.196,22.534,43.918,5,23,45.8,14.6
Baltimore ,KEYES FIELD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,567,354,2,1,1,0,0,127141,1675,4.090277778,0,0,0.066,11.007,47.16,0,23,45.8,14.6
Baltimore ,LATROBE PARK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Single,584,502,1,0,1,0,0,79243,1517,35.65217391,33.31,0.002,50.494,262.794,10.304,0,23,45.8,14.6
Baltimore ,MASONVILLE COVE,0,3,1,0,3,0,7,4,3,14,7,0,0,0,2,14,0,0,0,9,20,0,Single,NA,NA,3,1,1,1,0,284197,6754,51.62222222,526.389,0,5.171,71.677,4.133,3,23,45.8,14.6
Baltimore ,NORTH WEST PARK,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiple,NA,NA,2,1,1,0,0,177060,2206,4.01010101,16.49,0.299,202.312,510.232,51.838,3,23,45.8,14.6
Baltimore ,PATTERSON PARK,0,2,2,0,1,0,0,1,2,0,27,0,0,0,0,0,0,0,0,0,5,0,Single,3771,3317,2,0,1,0,1,492210,3026,18.20512821,6709.285,0,4.061,90.245,3.742,2,23,45.8,14.6
Baltimore ,STONY RUN PARK,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Multiple,NA,NA,3,1,1,1,0,64274,1805,8.444444444,664.688,0,40.643,344.891,49.889,1,23,45.8,14.6
Baltimore ,WYMAN PARK,1,2,3,0,1,4,7,12,0,0,0,0,0,0,4,1,0,0,3,0,1,0,Multiple,NA,NA,3,1,1,1,0,311479,4445,8.203539823,1697.409,0.12,102.466,464.485,49.681,1,23,45.8,14.6
Baltimore ,WYMAN PARK DELL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,833,660,2,1,1,0,0,39023,798,10.6744186,0,0.339,149.855,512.97,35.628,0,23,45.8,14.6
Bronx,Concrete Plant Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,Single,534,467,2,0,1,1,0,18984,1227,81.73684211,0,0.006,38.798,235.612,1.421,0,15,57.6,15.8
Bronx,Hunts Point Riverside Park,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,184,341,2,0,1,1,0,6246,415,69.42857143,141.722,0.043,126.426,373.479,5.857,0,15,57.6,15.8
Bronx,New York Botanical Garden/Zoo,2,3,2,0,2,4,0,37,37,0,7,2,0,0,0,0,0,1,0,2,16,0,Single,NA,NA,4,1,1,1,1,2825897,10168,20.08809448,23917.56,0,0.638,64.7,48.808,5,15,57.6,15.8
Bronx,Pelham Bay Park,1,2,4,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,2,0,0,0,Single,15733,17340,3,1,1,1,0,6697257,17152,8.608730692,20451.797,0,0.007,4.822,42.957,5,15,57.6,15.8
Bronx,Riverdale Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiple,NA,NA,2,1,0,1,0,337723,5702,4.678191489,1309.964,0.225,74.358,371.72,70.814,0,15,57.6,15.8
Bronx,Soundview Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Single,8358,8282,3,1,1,1,0,633750,4934,17.61581921,186.32,0.003,15.04,73.654,18.746,0,15,57.6,15.8
