City,Observer,Species,Group,Obs Date,LOC_FINAL,LOC_ORIG,Habitat_broad,Habitat_spec,Photo,Dead,Notes,LOCATION_CHANGES
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,5/10/2020,Awbury Arboretum,Awbury Arboretum,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,5/4/2019,Awbury Arboretum,Awbury Arboretum,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Dekay's Brownsnake,Snake,5/10/2020,Awbury Arboretum,Awbury Arboretum,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Dekay's Brownsnake,Snake,5/4/2019,Awbury Arboretum,Awbury Arboretum,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Toad,Frog,9/14/2019,Bartram's Gardens,Bartram's Gardens,terrestrial,wooded,yes,no,,
Philadelphia,BDW,American Toad,Frog,5/29/2019,Bartram's Gardens,Bartram's Gardens,terrestrial,edge,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,10/1/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Field,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,9/11/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,6/7/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,5/31/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/27/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/27/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/30/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,3/24/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,2/15/2019,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,4/28/2018,Bartram's Gardens,Bartram's Gardens,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,11/6/2016,Bartram's Gardens,Bartram's Gardens,Terrestrial,Field,yes,no,,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,5/6/2019,Bartram's Gardens,Bartram's Gardens,terrestrial,wooded,yes,no,,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,4/26/2019,Bartram's Gardens,Bartram's Gardens,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Dekay's Brownsnake,Snake,5/6/2019,Bartram's Gardens,Bartram's Gardens,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Dekay's Brownsnake,Snake,4/26/2019,Bartram's Gardens,Bartram's Gardens,terrestrial,wooded,yes,no,,
Philadelphia,BDW,Gray Tree Frog,Frog,9/11/2019,Benjamin Rush State Park,Benjamin Rush State Park,terrestrial,industrial,yes,,,
Philadelphia,NS/BDW,Common Garter Snake,Snake,9/27/2019,Benjamin Rush State Park,Benjamin Rush State Park,Terrestrial,Wooded,yes,no,,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,10/21/2019,Benjamin Rush State Park,Benjamin Rush State Park,terrestrial,field,yes,yes,,
Philadelphia,BDW,Dekay's Brownsnake,Snake,10/21/2019,Benjamin Rush State Park,Benjamin Rush State Park,terrestrial,field,yes,no,,
Philadelphia,NS/BDW,Dekay's Brownsnake,Snake,10/6/2018,Bouvier Garden,Bouvier Garden,terrestrial,suburban,yes,no,,
Philadelphia,BDW,Dekay's Brownsnake,Snake,10/6/2018,Bouvier Garden,Bouvier Garden,terrestrial,suburban,yes,no,,
Philadelphia,BDW,American Toad,Frog,4/25/2020,Carpenter's Woods,Carpenter's Woods,terrestrial,wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,BDW,American Toad,Frog,9/4/2019,Carpenter's Woods,Carpenter's Woods,terrestrial,wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,BDW,American Toad,Frog,5/7/2019,Carpenter's Woods,Carpenter's Woods,terrestrial,wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,BDW,American Toad,Frog,4/14/2018,Carpenter's Woods,Carpenter's Woods,aquatic,stream,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,BDW,Green Frog,Frog,4/26/2020,Carpenter's Woods,Carpenter's Woods,aquatic,pond,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,4/27/2020,Carpenter's Woods,Carpenter's Woods,terrestrial,wooded,yes,,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,4/27/2020,Carpenter's Woods,Carpenter's Woods,terrestrial,wooded,yes,,,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,NS/BDW,Eastern Redback Salamander,Salamander,3/20/2020,Carpenter's Woods,Carpenter's Woods,terrestrial,edge,yes,no,hard to tell habitat,ACROSS RD FROM WISSAHICKON VALLEY PARK
Philadelphia,BDW,Long Tailed Salamander,Salamander,5/4/2020,Carpenter's Woods,Carpenter's Woods,terrestrial,wooded,yes,no,,ACROSS RD FROM WISSAHICKON VALLEY PARK
