City,City2,LOC_FINAL,type,Junevisits,Julyvisits,SAL_SP,FROG_SP,SNAKE_SP,LIZARD_SP,TURTLE_SP,RARE_SP,RBS_OBS,AMTO_OBS,GRFR_OBS,GART_OBS,HABITAT_NUM,forest10,field10,stream10,pond10,area,perimeter,road_length,imperv,CONN100,CONN500,CONN1000,forestcover,wetland_types,species pool,exoREPS,exoAMPH,sliders,landscaped
Baltimore,Baltimore,CYLBURN ARBORETUM,Single,NA,NA,1,2,1,0,0,0,0,1,0,0,2,1,1,0,0,1051399,5938,2376.063822,5.843642612,0.122808916,86.93124928,295.9606066,62.61597938,2,23,0,0,0,MIXED
Baltimore,Baltimore,DRUID HILL PARK,Single,13153,11617,1,2,3,0,1,0,7,11,0,0,3,1,1,0,1,2253568,6403,623.6703148,8.715482841,1.37E-05,22.19453413,207.4562052,37.09896249,4,23,1,0,1,MIXED
Baltimore,Baltimore,FEDERAL HILL PARK,Single,904,936,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,35742,933,0,35.18421053,2.75E-06,12.46308216,162.657156,4.842105263,0,23,0,0,0,YES
Baltimore,Baltimore,FORT MCHENRY NATIONAL MONUMENT,Single,693,497,0,2,3,0,2,1,0,3,0,0,2,0,1,1,0,204797,2393,2845.3448,14.47555556,0.001360198,31.26134013,184.510159,2.84,1,23,0,0,0,YES
Baltimore,Baltimore,GWEN FALLS LEAKIN PARK,Multiple,NA,NA,1,2,3,0,0,1,2,1,0,0,3,1,1,1,0,9042017,46580,34568.46426,3.679753504,1.97E-20,0.059352221,14.43579567,63.35582944,4,23,0,0,0,NO
Baltimore,Baltimore,HERRING RUN PARK,Single,7119,6443,1,0,3,0,0,0,1,0,0,0,3,1,1,1,0,2925784,21877,6579.158487,7.802571166,9.08E-17,0.196047645,22.53436169,43.91827365,5,23,1,0,1,NO
Baltimore,Baltimore,KEYES FIELD,Single,567,354,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,127141,1675,0,4.090277778,1.45E-19,0.065912,11.00736632,47.15972222,0,23,0,0,0,YES
Baltimore,Baltimore,LATROBE PARK,Single,584,502,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,79243,1517,33.31044769,35.65217391,0.002188512,50.49377503,262.7940458,10.30434783,0,23,0,0,0,YES
Baltimore,Baltimore,MASONVILLE COVE,Single,NA,NA,0,3,1,0,3,3,0,0,1,0,3,1,1,1,0,284197,6754,526.3892068,51.62222222,1.17E-08,5.171422023,71.67701803,4.133333333,3,23,1,0,1,NO
Baltimore,Baltimore,NORTH WEST PARK,Multiple,NA,NA,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,177060,2206,16.4897339,4.01010101,0.299263287,202.3116389,510.232491,51.83838384,3,23,0,0,0,YES
Baltimore,Baltimore,PATTERSON PARK,Single,3771,3317,0,2,2,0,1,0,0,0,1,0,2,0,1,0,1,492210,3026,6709.284643,18.20512821,1.07E-09,4.060731484,90.24459344,3.741758242,2,23,1,0,1,YES
Baltimore,Baltimore,STONY RUN PARK,Multiple,NA,NA,0,1,1,0,0,0,0,0,1,0,3,1,1,1,0,64274,1805,664.6880206,8.444444444,0.000100276,40.64265802,344.8910766,49.88888889,1,23,1,0,1,NO
Baltimore,Baltimore,WYMAN PARK,Multiple,NA,NA,1,2,3,0,1,0,2,5,6,0,3,1,1,1,0,311479,4445,1697.40936,8.203539823,0.119953572,102.4659137,464.484874,49.68141593,1,23,1,0,1,NO
Baltimore,Baltimore,WYMAN PARK DELL,Single,833,660,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,39023,798,0,10.6744186,0.338664895,149.8549375,512.9699801,35.62790698,0,23,0,0,0,MIXED
Bronx,NYC,Concrete Plant Park,Single,534,467,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,18984,1227,0,81.73684211,0.00615444,38.79795023,235.612062,1.421052632,0,15,0,0,1,YES
Bronx,NYC,Hunts Point Riverside Park,Single,184,341,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,6246,415,141.7215272,69.42857143,0.043104541,126.4263726,373.4793541,5.857142857,0,15,0,0,0,YES
Bronx,NYC,New York Botanical Garden/Zoo,Single,NA,NA,2,3,2,0,2,0,4,0,37,37,4,1,1,1,1,2825897,10168,23917.56046,20.08809448,1.81E-14,0.637978027,64.70021052,48.8078519,5,15,1,0,1,MIXED
Bronx,NYC,Pelham Bay Park,Single,15733,17340,1,2,4,0,0,3,0,0,0,2,3,1,1,1,0,6697257,17152,20451.79675,8.608730692,1.71E-24,0.007389942,4.822030017,42.95701813,5,15,1,0,1,NO
